File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
Dinic_p_0.6_nVertices_350_maxValue_10.txt,Dinic,0.6,350,10,0.0035,0.0035,0.002002,0.003,0.006501
MPM_p_0.6_nVertices_350_maxValue_20.txt,MPM,0.6,350,20,0.009493,0.011,0.008001,0.010499,0.013502
EK_p_0.6_nVertices_350_maxValue_20.txt,EK,0.6,350,20,0.077501,0.052496,0.0605,0.089,0.079
Dinic_p_0.6_nVertices_350_maxValue_20.txt,Dinic,0.6,350,20,0.002501,0.003,0.003,0.003001,0.0045
MPM_p_0.6_nVertices_350_maxValue_30.txt,MPM,0.6,350,30,0.013,0.011499,0.007,0.0075,0.012
EK_p_0.6_nVertices_350_maxValue_30.txt,EK,0.6,350,30,0.079501,0.107502,0.082499,0.075,0.0645
Dinic_p_0.6_nVertices_350_maxValue_30.txt,Dinic,0.6,350,30,0.003999,0.0035,0.003001,0.002,0.002501
MPM_p_0.6_nVertices_350_maxValue_50.txt,MPM,0.6,350,50,0.009502,0.012501,0.012499,0.0105,0.011
EK_p_0.6_nVertices_350_maxValue_50.txt,EK,0.6,350,50,0.0705,0.099001,0.070999,0.086,0.096
Dinic_p_0.6_nVertices_350_maxValue_50.txt,Dinic,0.6,350,50,0.002,0.0035,0.002,0.0015,0.001501
MPM_p_0.6_nVertices_350_maxValue_80.txt,MPM,0.6,350,80,0.013,0.014003,0.013502,0.007001,0.013
EK_p_0.6_nVertices_350_maxValue_80.txt,EK,0.6,350,80,0.081001,0.107001,0.1225,0.1135,0.1145
Dinic_p_0.6_nVertices_350_maxValue_80.txt,Dinic,0.6,350,80,0.002,0.0055,0.002001,0.002,0.004
MPM_p_0.6_nVertices_350_maxValue_130.txt,MPM,0.6,350,130,0.0075,0.014999,0.0065,0.011,0.017
EK_p_0.6_nVertices_350_maxValue_130.txt,EK,0.6,350,130,0.0735,0.133502,0.1375,0.119501,0.101001
Dinic_p_0.6_nVertices_350_maxValue_130.txt,Dinic,0.6,350,130,0.0045,0.003001,0.002001,0.006501,0.005001
MPM_p_0.6_nVertices_350_maxValue_210.txt,MPM,0.6,350,210,0.008001,0.021,0.009,0.006499,0.007498
EK_p_0.6_nVertices_350_maxValue_210.txt,EK,0.6,350,210,0.1035,0.093001,0.0905,0.135499,0.121999
Dinic_p_0.6_nVertices_350_maxValue_210.txt,Dinic,0.6,350,210,0.002501,0.004001,0.001501,0.004001,0.001501
