File,Algorithm,P,n_vertices,max_cap,MeanTime
EK_p_0.25_nVertices_2100_maxValue_20.txt,EK,0.25,2100,20,9.418899999999999
Dinic_p_0.25_nVertices_2100_maxValue_20.txt,Dinic,0.25,2100,20,0.27900020000000003
MPM_p_0.25_nVertices_2100_maxValue_30.txt,MPM,0.25,2100,30,0.5333004
EK_p_0.25_nVertices_2100_maxValue_30.txt,EK,0.25,2100,30,10.6054
Dinic_p_0.25_nVertices_2100_maxValue_30.txt,Dinic,0.25,2100,30,0.39529939999999997
MPM_p_0.25_nVertices_2100_maxValue_50.txt,MPM,0.25,2100,50,0.6259003999999999
EK_p_0.25_nVertices_2100_maxValue_50.txt,EK,0.25,2100,50,11.431999999999999
Dinic_p_0.25_nVertices_2100_maxValue_50.txt,Dinic,0.25,2100,50,0.4030995999999999
MPM_p_0.25_nVertices_2100_maxValue_80.txt,MPM,0.25,2100,80,0.5748004
EK_p_0.25_nVertices_2100_maxValue_80.txt,EK,0.25,2100,80,13.852100000000002
Dinic_p_0.25_nVertices_2100_maxValue_80.txt,Dinic,0.25,2100,80,0.4403002
MPM_p_0.25_nVertices_2100_maxValue_130.txt,MPM,0.25,2100,130,0.534
EK_p_0.25_nVertices_2100_maxValue_130.txt,EK,0.25,2100,130,12.881499999999999
Dinic_p_0.25_nVertices_2100_maxValue_130.txt,Dinic,0.25,2100,130,0.4025
MPM_p_0.25_nVertices_2100_maxValue_210.txt,MPM,0.25,2100,210,0.4424004
EK_p_0.25_nVertices_2100_maxValue_210.txt,EK,0.25,2100,210,16.468200000000003
Dinic_p_0.25_nVertices_2100_maxValue_210.txt,Dinic,0.25,2100,210,0.421401
MPM_p_0.25_nVertices_2100_maxValue_340.txt,MPM,0.25,2100,340,0.463101
EK_p_0.25_nVertices_2100_maxValue_340.txt,EK,0.25,2100,340,11.567599999999999
Dinic_p_0.25_nVertices_2100_maxValue_340.txt,Dinic,0.25,2100,340,0.34240020000000004
MPM_p_0.25_nVertices_2100_maxValue_500.txt,MPM,0.25,2100,500,0.5637008
EK_p_0.25_nVertices_2100_maxValue_500.txt,EK,0.25,2100,500,19.6171
Dinic_p_0.25_nVertices_2100_maxValue_500.txt,Dinic,0.25,2100,500,0.27080080000000006
